Impact energy	SCS	label	Ref
keV	e-15 eV cm2/atom		
595.66	10.88	Y	
707.95	9.910	Y	
841.39	9.000	Y	
1000.00	8.147	Y	
1.0000	3.687	Z	Kc98
1.1890	4.056	Z	
1.4130	4.468	Z	
1.6790	4.928	Z	
1.9950	5.442	Z	
2.3710	6.018	Z	
2.8180	6.661	Z	
3.3500	7.380	Z	
3.9810	8.182	Z	
4.7320	9.076	Z	
5.6230	10.07	Z	
6.6830	11.16	Z	
7.9430	12.36	Z	
9.4410	13.66	Z	
11.220	15.04	Z	
13.335	16.49	Z	
15.849	17.97	Z	
18.836	19.44	Z	
22.387	20.83	Z	
26.607	22.08	Z	
31.623	23.11	Z	
37.584	23.87	Z	
44.668	24.32	Z	
53.088	24.43	Z	
63.096	24.22	Z	
74.989	23.71	Z	
89.125	22.97	Z	
105.93	22.05	Z	
125.89	20.99	Z	
149.62	19.86	Z	
177.83	18.68	Z	
211.35	17.48	Z	
251.19	16.30	Z	
298.54	15.14	Z	
354.81	14.02	Z	
421.70	12.93	Z	
501.19	11.89	Z	
595.66	10.90	Z	
707.95	9.964	Z	
841.39	9.075	Z	
1000.00	8.239	Z	
1.0030	5.336	a	HB06
1.3760	6.184	a	
1.8090	7.112	a	
2.2780	8.058	a	
2.9440	9.128	a	
3.9690	10.46	a	
5.3070	12.03	a	
6.6820	13.27	a	
8.7820	14.98	a	
11.440	16.84	a	
15.290	18.79	a	
20.100	20.97	a	
27.540	22.71	a	
36.490	24.40	a	
49.980	24.96	a	
66.720	24.86	a	
87.510	23.58	a	
110.90	22.03	a	
58.800	24.70	b	Ab08
63.100	24.22	b	
70.600	24.50	b	
74.990	23.96	b	
86.450	24.19	b	
94.680	23.64	b	
105.93	22.31	b	
117.46	21.34	b	
130.00	20.60	b	
149.18	20.26	b	
161.00	18.70	b	
178.94	18.82	b	
195.98	18.10	b	
211.35	17.48	b	
233.00	15.60	b	
260.55	16.26	b	
339.88	14.26	b	
431.47	12.87	b	
521.99	11.79	b	
657.32	10.33	b	
710.30	9.760	b	
749.70	9.540	b	
790.00	9.040	b	
792.47	9.280	b	
835.19	9.150	b	
869.02	8.730	b	
881.22	8.710	b	
924.21	8.560	b	
969.27	8.260	b	
1013.6	8.030	b	
36.990	24.90	c	Bro16
37.350	24.17	c	
37.750	23.92	c	
43.920	25.18	c	
43.930	25.01	c	
43.960	24.73	c	
44.490	25.27	c	
44.760	25.00	c	
44.910	25.22	c	
45.420	25.02	c	
45.960	25.80	c	
46.540	25.80	c	
48.750	25.73	c	
48.770	25.64	c	
48.800	25.32	c	
48.830	25.25	c	
49.690	25.50	c	
49.870	24.92	c	
58.500	26.12	c	
58.530	25.93	c	
58.570	25.81	c	
58.620	25.81	c	
58.880	25.54	c	
59.290	25.54	c	
59.600	25.89	c	
59.860	25.39	c	
59.990	25.51	c	
60.670	25.47	c	
61.400	25.43	c	
68.240	26.01	c	
68.280	25.90	c	
68.330	25.73	c	
68.380	25.83	c	
68.440	25.59	c	
69.530	25.76	c	
70.110	25.64	c	
70.780	25.38	c	
71.580	25.32	c	
72.420	25.27	c	
73.340	24.99	c	
77.790	25.49	c	
77.840	25.12	c	
77.890	24.86	c	
77.950	25.06	c	
78.010	25.03	c	
79.220	24.65	c	
79.260	25.04	c	
92.360	25.01	c	
92.410	24.60	c	
92.480	24.52	c	
92.550	24.51	c	
92.620	24.37	c	
94.100	24.50	c	
94.330	24.06	c	
104.90	24.14	c	
104.96	23.71	c	
105.04	23.59	c	
105.12	23.86	c	
105.20	23.77	c	
106.88	23.71	c	
124.26	22.87	c	
125.43	22.63	c	
125.96	22.06	c	
126.69	22.15	c	
127.77	22.30	c	
128.03	22.06	c	
129.59	22.50	c	
129.62	22.53	c	
131.17	21.96	c	
167.56	20.45	c	
168.85	20.92	c	
0.20008	1.729	d	Tra19
0.29777	2.211	d	
0.37357	2.440	d	
0.48723	2.837	d	
0.51742	2.892	d	
0.61066	3.219	d	
0.70107	3.145	d	
0.75108	3.480	d	
0.85485	3.640	d	
0.98466	3.879	d	
1.0342	4.082	d	
1.1629	4.268	d	
1.2483	4.349	d	
1.3227	4.805	d	
1.3686	4.327	d	
1.4765	4.787	d	
1.5020	5.090	d	
1.6463	5.293	d	
1.7220	5.707	d	
1.7692	5.520	d	
1.9852	5.967	d	
2.0029	5.450	d	
2.0689	5.353	d	
2.1986	6.598	d	
2.3008	6.695	d	
2.5028	6.646	d	
2.5584	6.616	d	
2.6994	6.799	d	
2.8438	6.801	d	
3.0035	7.437	d	
3.0514	7.677	d	
3.3322	7.651	d	
3.5207	7.971	d	
3.7853	8.174	d	
4.0047	8.437	d	
4.4531	8.682	d	
4.9377	9.312	d	
5.9989	10.34	d	
15.000	17.33	d	
20.000	20.38	d	
25.000	22.33	d	
30.000	23.90	d	
35.000	24.63	d	
40.000	25.41	d	
45.000	26.34	d	
50.000	26.23	d	
60.000	26.97	d	
70.000	26.52	d	
0.87610	4.961	e	MeV21
1.7983	6.831	e	
2.7291	8.276	e	
3.7056	9.517	e	
4.6742	10.55	e	
5.6406	11.43	e	
6.6281	12.22	e	
7.5983	12.89	e	
8.5469	13.53	e	
9.5636	14.27	e	
