PSTAR: Stopping Powers and Range Tables for Protons

ALUMINUM OXIDE                                                          

Kinetic   Electron. Nuclear   Total     CSDA      Projected Detour 
Energy    Stp. Pow. Stp. Pow. Stp. Pow. Range     Range     Factor 
MeV       MeV cm2/g MeV cm2/g MeV cm2/g g/cm2     g/cm2            

7.500E+02 1.946E+00 3.056E-04 1.946E+00 2.642E+02 2.638E+02 0.9985 
8.000E+02 1.910E+00 2.875E-04 1.910E+00 2.901E+02 2.897E+02 0.9985 
8.500E+02 1.879E+00 2.715E-04 1.879E+00 3.165E+02 3.160E+02 0.9986 
9.000E+02 1.852E+00 2.572E-04 1.853E+00 3.433E+02 3.428E+02 0.9986 
9.500E+02 1.829E+00 2.444E-04 1.829E+00 3.704E+02 3.699E+02 0.9986 
1.000E+03 1.809E+00 2.329E-04 1.809E+00 3.979E+02 3.974E+02 0.9987 
1.500E+03 1.696E+00 1.588E-04 1.697E+00 6.850E+02 6.843E+02 0.9988 
2.000E+03 1.660E+00 1.212E-04 1.660E+00 9.835E+02 9.825E+02 0.9990 
2.500E+03 1.651E+00 9.824E-05 1.651E+00 1.286E+03 1.285E+03 0.9991 
3.000E+03 1.653E+00 8.279E-05 1.653E+00 1.589E+03 1.587E+03 0.9992 
4.000E+03 1.669E+00 6.322E-05 1.669E+00 2.191E+03 2.189E+03 0.9993 
5.000E+03 1.690E+00 5.130E-05 1.690E+00 2.786E+03 2.785E+03 0.9994 
6.000E+03 1.711E+00 4.325E-05 1.711E+00 3.374E+03 3.372E+03 0.9994 
7.000E+03 1.731E+00 3.745E-05 1.731E+00 3.955E+03 3.953E+03 0.9995 
8.000E+03 1.749E+00 3.305E-05 1.749E+00 4.530E+03 4.528E+03 0.9995 
9.000E+03 1.766E+00 2.960E-05 1.766E+00 5.099E+03 5.097E+03 0.9995 
1.000E+04 1.782E+00 2.683E-05 1.782E+00 5.663E+03 5.660E+03 0.9996 
